del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS1236;176;7353;2871;588;328;1907;1567;340;675;536;139;1232;1031;201;293;90;11;161;91;58;409;115;4;1793;2424;1841;248;6306
TS1237;169;11298;11298;957;438;3181;2536;645;1076;757;319;2105;1779;326;235;288;151;295;223;112;555;227;19;2715;3515;3162;412;9803
TS1238;451;17100;5357;890;400;5606;4474;1132;738;571;167;4868;3903;965;2021;637;18;705;337;129;683;278;60;5318;5182;3179;667;14346
TS1239;510;30749;14061;1854;812;9680;7699;1981;1609;1162;447;8071;6537;1534;3171;443;40;1217;868;391;1212;639;90;8817;9321;6778;1024;25940
TS123A;418;25915;11927;1256;928;7500;6042;1458;1973;1412;561;5527;4630;897;1413;665;105;770;575;290;1069;524;116;6235;8608;5973;1036;21852
TS1240;451;26102;16626;7118;2085;9394;6700;2694;1530;951;579;7864;5749;2115;1409;1024;105;954;619;368;2490;863;32;5642;7822;7143;1324;21931
TS1241;421;29286;7617;1318;1332;10545;7527;3018;1461;732;729;9084;6795;2289;3278;710;59;1934;428;274;1871;495;35;7174;9426;6660;1218;24478
TS1242;417;20877;12273;1433;615;6900;5283;1617;1506;1162;344;5394;4121;1273;1297;841;19;803;516;244;1044;541;89;5208;6466;5102;977;17753
TS1243;466;17963;9358;1236;689;5630;4269;1361;1366;926;440;4264;3343;921;1355;346;50;418;328;366;1035;330;36;4493;5205;4870;691;15258
TS1244;487;21546;7811;1123;981;6791;5234;1557;1206;887;319;5585;4347;1238;2499;177;102;678;403;221;1049;426;30;5793;6786;4735;710;18024
TS1245;305;15712;3700;1011;317;4736;3717;1019;1136;817;319;3600;2900;700;842;476;14;710;275;133;706;392;52;3895;5193;3621;683;13391
TS1246;396;31139;12942;3384;766;8579;7419;1160;1154;917;237;7425;6502;923;1332;493;30;2234;744;344;1585;561;102;8773;8747;6935;1140;25595
TS1247;624;29991;4307;1614;685;7788;6853;935;2144;1748;396;5644;5105;539;1178;229;8;2417;293;185;992;235;107;10467;7701;4749;763;23679
TS1248;359;17763;2490;904;353;4852;4213;639;543;385;158;4309;3828;481;728;273;13;1834;202;126;780;191;162;6250;4999;2774;519;14542
TS1249;397;13823;4547;767;450;4172;3456;716;708;450;258;3464;3006;458;1210;216;22;535;289;149;774;248;21;3683;4319;3285;594;11881
TS124A;307;9783;2621;349;292;2791;2323;468;604;420;184;2187;1903;284;977;55;10;311;140;98;427;135;34;2856;3024;2097;250;8227
TS2110;12;29680;29680;17760;4637;11473;7523;3950;1177;647;530;10296;6876;3420;120;1750;107;389;1544;747;2315;3227;97;2860;6981;11023;4588;25453
TS2111;47;65333;65333;4111;13648;23236;16199;7037;3213;2044;1169;20023;14155;5868;236;6318;167;2117;2194;1344;3669;3709;269;6383;18856;22050;7661;54950
TS2112;10;62663;62663;2296;14111;24304;15875;8429;2351;1401;950;21953;14474;7479;131;4042;210;1559;2774;1568;5757;5526;386;5612;14799;21866;10278;52555
TS2113;15;46257;46257;1697;6900;18661;12192;6469;2277;1434;843;16384;10758;5626;239;5571;136;1593;2233;1011;1758;3606;237;7856;15186;12979;2301;38323
TS2114;24;34685;34685;2130;4229;14313;9998;4315;1069;580;489;13244;9418;3826;192;3607;103;1267;1455;723;1942;3719;236;3490;10704;11390;3643;29227
TS2115;45;25717;21237;1113;2516;10515;6962;3553;989;567;422;9526;6395;3131;508;3084;115;885;826;441;1452;2077;138;3331;7480;8385;2161;21358
TS2116;285;51196;45990;1178;1153;17851;12782;5069;1488;1097;391;16363;11685;4678;942;5891;108;2915;1184;754;1713;2632;224;9702;16304;13507;2547;42061
TS2117;167;17606;9011;610;667;6024;4294;1730;927;571;356;5097;3723;1374;476;1902;24;443;384;260;684;827;97;2811;5979;4767;781;14338
TS2118;104;7913;6332;285;368;2839;2083;756;491;285;206;2348;1798;550;250;672;6;225;181;159;342;490;23;1434;2569;2217;403;6623
TS2119;443;43426;9981;1399;1179;12940;9977;2963;2650;1790;860;10290;8187;2103;1207;2840;62;2509;616;467;1390;1042;157;9870;15025;9287;1382;35563
TS211A;369;23581;8701;748;1079;8333;6175;2158;1331;812;519;7002;5363;1639;1331;1056;17;1056;606;295;808;1765;68;5597;8058;4930;682;19267
TS211B;171;11636;0;368;223;3563;2558;1005;504;369;135;3059;2189;870;450;916;6;699;326;140;256;210;56;2888;4169;2017;225;9299
TS211C;433;11614;3058;436;308;3334;2395;939;624;441;183;2710;1954;756;727;676;3;662;153;67;257;142;23;3367;4047;1802;169;9386
